Id,Nombre,Categoria,Descripcion,Precio,Cantidad
1,Banano,ALIMENTOS,banano,10,5
2,Banano,ALIMENTOS,banano,10,5
3,Banano,ALIMENTOS,banano,10,5
4,Banano,ALIMENTOS,banano,10,5
5,Banano,ALIMENTOS,banano,10,5
6,Banano,ALIMENTOS,banano,10,5
7,Banano,ALIMENTOS,banano,10,5
8,Banano,ALIMENTOS,banano,10,5
9,Banano,ALIMENTOS,banano,10,5
10,Banano,ALIMENTOS,banano,10,5
11,Banano,ALIMENTOS,banano,10,5
12,Banano,ALIMENTOS,banano,10,5
13,Banano,ALIMENTOS,banano,10,5
14,Banano,ALIMENTOS,banano,10,5
15,Banano,ALIMENTOS,banano,10,5
16,Banano,ALIMENTOS,banano,10,5
17,Banano,ALIMENTOS,banano,10,5
18,Banano,ALIMENTOS,banano,10,5
19,Banano,ALIMENTOS,banano,10,5
20,Banano,ALIMENTOS,banano,10,5
21,Banano,ALIMENTOS,banano,10,5
22,Banano,ALIMENTOS,banano,10,5
23,Banano,ALIMENTOS,banano,10,5
24,Banano,ALIMENTOS,banano,10,5
25,Banano,ALIMENTOS,banano,10,5
26,Banano,ALIMENTOS,banano,10,5
27,Banano,ALIMENTOS,banano,10,5
28,Banano,ALIMENTOS,banano,10,5
29,Banano,ALIMENTOS,banano,10,5
30,Banano,ALIMENTOS,banano,10,5
31,Banano,ALIMENTOS,banano,10,5
32,Banano,ALIMENTOS,banano,10,5
33,Banano,ALIMENTOS,banano,10,5
34,Banano,ALIMENTOS,banano,10,5
35,Banano,ALIMENTOS,banano,10,5
36,Banano,ALIMENTOS,banano,10,5
37,Banano,ALIMENTOS,banano,10,5
38,Banano,ALIMENTOS,banano,10,5
39,Banano,ALIMENTOS,banano,10,5
