Fecha,Operacion,IP,Recurso
Fecha,Operacion,IP,Recurso
2026-07-27 23:52:17,LOGIN,25.34.249.60,juan
2026-07-28 00:10:02,LOGIN,25.34.249.60,juan
2026-07-28 00:12:40,LOGIN,25.34.249.60,juan
2026-07-28 00:18:00,LOGIN,25.34.249.60,juan
2026-07-28 00:19:07,LOGIN,25.34.249.60,juan
2026-07-28 00:29:28,LOGIN,25.34.249.60,juan
2026-07-28 00:30:11,AGREGAR,25.34.249.60,banano
2026-07-28 00:31:08,LOGIN,25.34.249.60,juan
2026-07-28 00:37:53,LOGIN,25.34.249.60,juan
2026-07-28 00:38:31,AGREGAR,25.34.249.60,bananito
2026-07-28 00:38:50,ACTUALIZAR,25.34.249.60,id 1 (PRECIO)
2026-07-28 00:41:51,LOGIN,25.34.249.60,juan
2026-07-28 00:42:20,AGREGAR,25.34.249.60,bananito
2026-07-28 00:42:30,ELIMINAR,25.34.249.60,id 1
2026-07-28 00:46:30,LOGIN,25.34.249.60,juan
2026-07-28 01:12:15,LOGIN,25.34.249.60,juan
2026-07-28 01:13:29,LOGIN,25.34.249.60,juan
2026-07-28 01:36:28,LOGIN,25.34.249.60,juan
2026-07-28 01:36:54,AGREGAR_EMPLEADO,25.34.249.60,registroEmpleado
2026-07-28 01:37:11,LOGIN,25.34.249.60,juan
2026-07-28 01:37:51,LOGIN,25.34.249.60,juan
2026-07-28 01:38:17,AGREGAR_EMPLEADO,25.34.249.60,registroEmpleado
2026-07-28 01:38:23,LOGIN,25.34.249.60,juan
2026-07-28 01:38:33,LOGIN,25.34.249.60,paula
2026-07-28 01:57:05,LOGIN,25.34.249.60,juan
2026-07-28 01:58:32,AGREGAR_EMPLEADO,25.34.249.60,registroEmpleado
2026-07-28 01:58:39,LOGIN,25.34.249.60,juan
2026-07-28 01:58:51,LOGIN,25.34.249.60,paula
2026-07-28 02:28:27,LOGIN,25.34.249.60,juan
2026-07-28 02:44:15,LOGIN,25.34.249.60,juan
2026-07-28 02:45:10,AGREGAR,25.34.249.60,cafe
2026-07-28 02:45:40,ACTUALIZAR,25.34.249.60,id 1 (PRECIO)
2026-07-28 02:46:10,AGREGAR,25.34.249.60,Banano
2026-07-28 02:56:28,LOGIN,25.34.249.60,juan
2026-07-28 02:57:10,AGREGAR,25.34.249.60,cafe
2026-07-28 02:57:45,AGREGAR,25.34.249.60,Banano
2026-07-28 02:58:16,ACTUALIZAR,25.34.249.60,id 1 (PRECIO)
2026-07-28 10:19:01,LOGIN,25.34.249.60,juan
2026-07-28 11:27:58,LOGIN,25.34.249.60,juan
2026-07-28 11:28:03,LOGIN,25.45.152.158,Emmanuel
2026-07-28 11:28:35,AGREGAR,25.34.249.60,bananito
2026-07-28 11:28:46,AGREGAR,25.45.152.158,Jabón
2026-07-28 11:29:35,ACTUALIZAR,25.45.152.158,id 1 (NOMBRE)
2026-07-28 11:29:36,ACTUALIZAR,25.34.249.60,id 1 (NOMBRE)
2026-07-28 11:32:42,LOGIN,25.34.249.60,juan
2026-07-28 11:42:26,LOGIN,25.34.249.60,juan
2026-07-28 11:42:33,LOGIN,25.34.249.60,juan
2026-07-28 12:22:25,LOGIN,25.34.249.60,juan
2026-07-28 12:23:27,AGREGAR,25.34.249.60,banano
